Date,WaterUsage,ProductionLevel,Employees,Temperature,DayOfWeek,Month,Date_ordinal
2022-01-01,117.01840226661012,51.1629227111937,48,21.77401495707456,5,1,738156
2022-01-02,123.85695276379806,51.91170018978745,15,22.332212658671484,6,1,738157
2022-01-03,150.0149389188175,47.84311527733762,70,19.847832744616127,0,1,738158
2022-01-04,126.98718405782353,44.57227714510594,31,21.068164369088645,1,1,738159
2022-01-05,124.4027011676688,43.47274756312034,63,19.307924929334053,2,1,738160
2022-01-06,129.71436648054248,47.87283265566776,71,20.947427117037925,3,1,738161
2022-01-07,120.18387615298148,50.13948487146659,31,23.10555490557128,4,1,738162
2022-01-08,125.23817047697366,50.9406844513649,52,19.377801895843078,5,1,738163
2022-01-09,111.81937644248087,51.60813806798726,11,18.3866376869178,6,1,738164
2022-01-10,143.27556892602465,45.82763795203023,17,23.11543468558815,0,1,738165
2022-01-11,121.97532106350148,47.09780924926878,46,16.05501307300983,1,1,738166
2022-01-12,125.40264961051366,49.50741789841624,60,21.40766804268074,2,1,738167
2022-01-13,118.99159986179946,49.913558177425614,21,21.34553099120469,3,1,738168
2022-01-14,124.06579612457072,53.19083811311821,35,19.89920380241024,4,1,738169
2022-01-15,122.65087014137526,51.78663576002123,56,21.73070521725328,5,1,738170
2022-01-16,122.97652641396355,52.7391881525294,68,21.675582263741585,6,1,738171
2022-01-17,134.20751983306036,48.85141901564874,38,23.41493025050643,0,1,738172
2022-01-18,132.555606778678,49.39701701280957,73,18.650656992186235,1,1,738173
2022-01-19,123.94503425187472,51.65784442981345,53,18.887410671839355,2,1,738174
2022-01-20,135.17654832612675,50.34183644824586,55,18.17688560469604,3,1,738175
2022-01-21,128.33933243774538,51.4040359393573,96,20.47697903065678,4,1,738176
2022-01-22,123.97894603122197,43.32782541838053,76,17.054860601709237,5,1,738177
2022-01-23,124.99168358842856,50.24911453759629,74,19.215064643495506,6,1,738178
2022-01-24,144.6440416558154,48.18364333192131,95,20.777051328349486,0,1,738179
2022-01-25,116.48486524665472,49.60289142529331,41,16.91212964824811,1,1,738180
2022-01-26,127.48810423420758,46.70312293052461,92,20.359349562067383,2,1,738181
2022-01-27,118.37810402036224,48.57154361652847,86,18.54181061096794,3,1,738182
2022-01-28,130.93827782341498,52.09555279887231,70,19.673986606396973,4,1,738183
2022-01-29,113.4153879569606,51.13380362166324,45,16.802875050285532,5,1,738184
2022-01-30,136.52348328526926,48.76912529302717,93,18.48806075166868,6,1,738185
2022-01-31,150.5966803962686,56.18686286492964,80,15.30195941337622,0,1,738186
2022-02-01,120.66417892418671,46.76207180832839,93,20.316273017964733,1,2,738187
2022-02-02,124.28462544007076,52.58164100426653,80,22.237706857846835,2,2,738188
2022-02-03,123.63308079966596,54.81933099908957,90,21.312734529041723,3,2,738189
2022-02-04,124.20649564748352,49.97067570873456,19,18.75454469886756,4,2,738190
2022-02-05,119.90400327926368,45.524119613330285,67,22.71347808903792,5,2,738191
2022-02-06,128.81715881095468,52.63503612637584,71,17.54760440173216,6,2,738192
2022-02-07,150.5251093281165,50.557717091406616,84,19.353390469438096,0,2,738193
2022-02-08,128.93142770898507,45.10800487522652,99,21.89989066622862,1,2,738194
2022-02-09,119.87781962256182,50.81282384777946,20,19.213147439763983,2,2,738195
2022-02-10,129.20238896856037,51.88763717966636,85,26.475743773316168,3,2,738196
2022-02-11,117.3738168535885,50.31858037474976,29,19.58362396073359,4,2,738197
2022-02-12,125.99930211980872,50.46112600639864,36,19.92855587330484,5,2,738198
2022-02-13,114.8466641020793,48.447447087750405,34,22.42717645642118,6,2,738199
2022-02-14,146.0396808455053,48.094572226413305,73,17.968886261134415,0,2,738200
2022-02-15,126.60232407408536,52.19979272816528,91,19.5842025720254,1,2,738201
2022-02-16,119.97439593784094,53.42927950502538,14,17.738249293836734,2,2,738202
